id,method_id,annotation_type_id,annotation_category,entity_type,entity_id,value,created_at,updated_at
"377196","9","6","prediction","articles","257683","{""claims"": []}","2020-03-08 23:52:03.889433+01","2022-03-10 01:40:24.758139+01"
"337213","9","6","prediction","articles","323441","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.6648014187812805, ""presence_score"": 0.4798808928639942, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.6761658191680908, ""presence_score"": 0.505399820078805, ""partial_veracity"": ""false""}]}","2020-03-08 19:39:27.401234+01","2022-03-10 01:42:48.011274+01"
"494168","9","6","prediction","articles","962172","{""claims"": []}","2020-12-10 11:02:19.421975+01","2022-03-09 22:53:09.895234+01"
"460561","9","6","prediction","articles","912958","{""claims"": []}","2020-09-25 17:22:28.140253+02","2022-03-10 01:39:26.741957+01"
"377207","9","6","prediction","articles","257702","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.9901756644248962, ""presence_score"": 0.6619156996865974, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4912, ""presence"": ""yes"", ""stance_score"": 0.9901150465011597, ""presence_score"": 0.3823575877692398, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.9831990599632263, ""presence_score"": 0.6825849119869107, ""partial_veracity"": ""false""}]}","2020-03-08 23:52:09.672427+01","2022-03-10 01:40:35.536741+01"
"377222","9","6","prediction","articles","257736","{""claims"": []}","2020-03-08 23:52:14.761373+01","2022-03-10 01:40:52.108353+01"
"320400","9","6","prediction","articles","290561","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8339279294013977, ""presence_score"": 0.3973263265269677, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.8279582262039185, ""presence_score"": 0.4216077809351881, ""partial_veracity"": ""false""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 442, ""presence"": ""yes"", ""stance_score"": 0.8800337314605713, ""presence_score"": 0.3936236773551676, ""partial_veracity"": ""true""}]}","2020-03-08 16:40:37.955428+01","2022-03-10 01:41:46.066243+01"
"348755","9","6","prediction","articles","339899","{""claims"": [{""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.4511902332305908, ""presence_score"": 0.5409952074327166, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""neutral"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.40142741799354553, ""presence_score"": 0.5211040708782569, ""partial_veracity"": ""unknown""}]}","2020-03-08 20:44:18.354095+01","2022-03-09 22:56:52.719431+01"
"364353","9","6","prediction","articles","372569","{""claims"": []}","2020-03-08 22:35:40.155824+01","2022-03-09 22:56:00.752761+01"
"377275","9","6","prediction","articles","257833","{""claims"": []}","2020-03-08 23:52:36.075806+01","2022-03-10 01:42:02.347446+01"
"364804","9","6","prediction","articles","241975","{""claims"": []}","2020-03-08 22:38:04.398049+01","2022-03-09 22:59:37.476174+01"
"377362","9","6","prediction","articles","257974","{""claims"": []}","2020-03-08 23:53:11.476058+01","2022-03-10 01:43:34.914399+01"
"377284","9","6","prediction","articles","257845","{""claims"": [{""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 3680, ""presence"": ""yes"", ""stance_score"": 0.9476573467254639, ""presence_score"": 0.4040249470827467, ""partial_veracity"": ""unknown""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.6000946760177612, ""presence_score"": 0.5624544113716813, ""partial_veracity"": ""false""}, {""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4912, ""presence"": ""yes"", ""stance_score"": 0.7862284183502197, ""presence_score"": 0.37998766394910516, ""partial_veracity"": ""unknown""}]}","2020-03-08 23:52:39.646516+01","2022-03-10 01:42:15.949687+01"
"448302","9","6","prediction","articles","847848","{""claims"": []}","2020-07-18 05:23:39.783286+02","2022-03-10 01:44:26.784229+01"
"377302","9","6","prediction","articles","782153","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4912, ""presence"": ""yes"", ""stance_score"": 0.65273517370224, ""presence_score"": 0.35824155751841086, ""partial_veracity"": ""unknown""}]}","2020-03-08 23:52:46.744823+01","2022-03-10 01:42:30.099434+01"
"494843","9","6","prediction","articles","963208","{""claims"": []}","2020-12-13 11:11:33.623986+01","2022-03-09 23:02:31.511532+01"
"337195","9","6","prediction","articles","323409","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.9201840758323669, ""presence_score"": 0.4243940103348755, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2819, ""presence"": ""yes"", ""stance_score"": 0.5400060415267944, ""presence_score"": 0.4044650637484762, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.91561359167099, ""presence_score"": 0.43039328345544053, ""partial_veracity"": ""false""}]}","2020-03-08 19:39:17.240819+01","2022-03-10 01:42:37.074917+01"
"487766","9","6","prediction","articles","945762","{""claims"": [{""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 1859, ""presence"": ""yes"", ""stance_score"": 0.9648858904838562, ""presence_score"": 0.5353284217569542, ""partial_veracity"": ""true""}]}","2020-11-10 00:59:42.782654+01","2022-03-10 01:39:57.920021+01"
"348606","9","6","prediction","articles","339700","{""claims"": [{""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 4589, ""presence"": ""yes"", ""stance_score"": 0.7415488958358765, ""presence_score"": 0.4108409179438574, ""partial_veracity"": ""unknown""}]}","2020-03-08 20:43:20.420369+01","2022-03-09 22:55:11.489795+01"
"348678","9","6","prediction","articles","339808","{""claims"": [{""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.46046945452690125, ""presence_score"": 0.3616904528368747, ""partial_veracity"": ""false""}]}","2020-03-08 20:43:47.423023+01","2022-03-09 22:56:05.789436+01"
"460838","9","6","prediction","articles","913285","{""claims"": [{""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 6630, ""presence"": ""yes"", ""stance_score"": 0.7105550169944763, ""presence_score"": 0.3627293866958154, ""partial_veracity"": ""unknown""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 5150, ""presence"": ""yes"", ""stance_score"": 0.9892949461936951, ""presence_score"": 0.3568325430563022, ""partial_veracity"": ""false""}]}","2020-09-26 17:24:53.811754+02","2022-03-10 01:43:07.904996+01"
"455457","9","6","prediction","articles","896981","{""claims"": []}","2020-08-26 14:21:31.710502+02","2022-03-09 22:57:03.852177+01"
"364821","9","6","prediction","articles","241992","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8916497826576233, ""presence_score"": 0.36136131338671085, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.8214651346206665, ""presence_score"": 0.4097840052334944, ""partial_veracity"": ""false""}]}","2020-03-08 22:38:11.091963+01","2022-03-09 22:59:46.528058+01"
"377251","9","6","prediction","articles","257783","{""claims"": []}","2020-03-08 23:52:26.876459+01","2022-03-10 01:41:31.384909+01"
"377350","9","6","prediction","articles","257949","{""claims"": [{""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 6631, ""presence"": ""yes"", ""stance_score"": 0.9721387028694153, ""presence_score"": 0.4739820268278104, ""partial_veracity"": ""true""}, {""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 2649, ""presence"": ""yes"", ""stance_score"": 0.7322927117347717, ""presence_score"": 0.4894799956470847, ""partial_veracity"": ""unknown""}]}","2020-03-08 23:53:06.237312+01","2022-03-10 01:43:19.332355+01"
"377393","9","6","prediction","articles","258029","{""claims"": []}","2020-03-08 23:53:21.777919+01","2022-03-10 01:44:31.819359+01"
"487973","9","6","prediction","articles","946825","{""claims"": []}","2020-11-10 01:04:34.677494+01","2022-03-10 01:54:07.209636+01"
"330875","9","6","prediction","articles","307013","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8955942988395691, ""presence_score"": 0.39294723958999317, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.88646399974823, ""presence_score"": 0.38211268646034596, ""partial_veracity"": ""false""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 442, ""presence"": ""yes"", ""stance_score"": 0.9663150310516357, ""presence_score"": 0.43769281571711893, ""partial_veracity"": ""true""}]}","2020-03-08 18:14:56.59002+01","2022-03-09 22:55:56.149104+01"
"439014","9","6","prediction","articles","831355","{""claims"": []}","2020-06-01 07:18:34.113052+02","2022-03-09 22:56:27.749139+01"
"337769","9","6","prediction","articles","323771","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.4973403513431549, ""presence_score"": 0.48878892261013873, ""partial_veracity"": ""unknown""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 2278, ""presence"": ""yes"", ""stance_score"": 0.530165433883667, ""presence_score"": 0.4120249369779618, ""partial_veracity"": ""true""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.5729935765266418, ""presence_score"": 0.5192451073636978, ""partial_veracity"": ""false""}]}","2020-03-08 19:41:32.269896+01","2022-03-10 01:46:40.417245+01"
"502133","9","6","prediction","articles","979159","{""claims"": []}","2021-01-22 19:26:47.554083+01","2022-03-10 01:47:07.647196+01"
"502129","9","6","prediction","articles","979156","{""claims"": [{""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.3931359052658081, ""presence_score"": 0.36454147018524324, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 6471, ""presence"": ""yes"", ""stance_score"": 0.8306558132171631, ""presence_score"": 0.3559470776094174, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""neutral"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.5437473058700562, ""presence_score"": 0.3607269208762837, ""partial_veracity"": ""unknown""}]}","2021-01-22 19:26:40.805489+01","2022-03-10 01:47:02.21211+01"
"364716","9","6","prediction","articles","372949","{""claims"": []}","2020-03-08 22:37:40.151771+01","2022-03-09 22:59:10.260661+01"
"348968","9","6","prediction","articles","340251","{""claims"": []}","2020-03-08 20:45:43.357003+01","2022-03-09 22:59:28.775504+01"
"377422","9","6","prediction","articles","258075","{""claims"": []}","2020-03-08 23:53:33.160009+01","2022-03-10 01:44:59.633201+01"
"377427","9","6","prediction","articles","258083","{""claims"": [{""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.9042044878005981, ""presence_score"": 0.5678228945803024, ""partial_veracity"": ""false""}]}","2020-03-08 23:53:35.00196+01","2022-03-10 01:45:03.333249+01"
"313898","9","6","prediction","articles","275116","{""claims"": []}","2020-03-08 15:42:57.99962+01","2022-03-09 23:02:46.573529+01"
"337323","9","6","prediction","articles","323639","{""claims"": []}","2020-03-08 19:40:26.590299+01","2022-03-10 01:45:46.488217+01"
"337621","9","6","prediction","articles","323722","{""claims"": []}","2020-03-08 19:41:17.370231+01","2022-03-10 01:46:20.146006+01"
"487848","9","6","prediction","articles","946397","{""claims"": []}","2020-11-10 01:02:12.235201+01","2022-03-10 01:47:21.41477+01"
"455432","9","6","prediction","articles","896862","{""claims"": []}","2020-08-26 14:21:18.326875+02","2022-03-09 22:56:03.538141+01"
"348720","9","6","prediction","articles","339856","{""claims"": []}","2020-03-08 20:44:04.27089+01","2022-03-09 22:56:34.608748+01"
"455455","9","6","prediction","articles","896976","{""claims"": []}","2020-08-26 14:21:30.648646+02","2022-03-09 22:57:01.355871+01"
"330919","9","6","prediction","articles","307153","{""claims"": []}","2020-03-08 18:15:18.004565+01","2022-03-09 22:57:02.616091+01"
"320388","9","6","prediction","articles","290528","{""claims"": []}","2020-03-08 16:40:26.112143+01","2022-03-10 01:41:05.360929+01"
"501881","9","6","prediction","articles","978838","{""claims"": []}","2021-01-21 19:24:13.859388+01","2022-03-10 01:43:13.76629+01"
"501883","9","6","prediction","articles","978842","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.38885483145713806, ""presence_score"": 0.5420364485573883, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.34216272830963135, ""presence_score"": 0.5349145964579376, ""partial_veracity"": ""false""}]}","2021-01-21 19:24:15.556179+01","2022-03-10 01:43:15.668002+01"
"377508","9","6","prediction","articles","258219","{""claims"": [{""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 4973, ""presence"": ""yes"", ""stance_score"": 0.5813782215118408, ""presence_score"": 0.47388839940447336, ""partial_veracity"": ""true""}]}","2020-03-08 23:54:07.249053+01","2022-03-10 01:46:31.904716+01"
"377510","9","6","prediction","articles","258221","{""claims"": [{""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 472, ""presence"": ""yes"", ""stance_score"": 0.674190104007721, ""presence_score"": 0.4111207777069321, ""partial_veracity"": ""false""}]}","2020-03-08 23:54:08.464545+01","2022-03-10 01:46:33.432907+01"
"494675","9","6","prediction","articles","962550","{""claims"": []}","2020-12-12 11:10:11.833288+01","2022-03-09 22:57:21.292526+01"
"418952","9","6","prediction","articles","798734","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.4542558789253235, ""presence_score"": 0.49193166135569166, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 6050, ""presence"": ""yes"", ""stance_score"": 0.9951089024543762, ""presence_score"": 0.47009193699723256, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.5767464637756348, ""presence_score"": 0.5117121886728231, ""partial_veracity"": ""true""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 5150, ""presence"": ""yes"", ""stance_score"": 0.47130078077316284, ""presence_score"": 0.4414668296927311, ""partial_veracity"": ""false""}]}","2020-03-14 00:33:52.215144+01","2022-03-09 22:57:36.636386+01"
"467615","9","6","prediction","articles","929839","{""claims"": []}","2020-11-04 19:32:09.143791+01","2022-03-09 22:58:00.001064+01"
"348813","9","6","prediction","articles","339983","{""claims"": [{""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.5014152526855469, ""presence_score"": 0.3659700571640438, ""partial_veracity"": ""unknown""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.7031831741333008, ""presence_score"": 0.5478435566802529, ""partial_veracity"": ""false""}, {""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.5702810883522034, ""presence_score"": 0.3730408383993944, ""partial_veracity"": ""true""}]}","2020-03-08 20:44:43.011013+01","2022-03-09 22:57:38.831075+01"
"487806","9","6","prediction","articles","946129","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.6219411492347717, ""presence_score"": 0.434810983946283, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.7371687889099121, ""presence_score"": 0.4051266231153347, ""partial_veracity"": ""false""}]}","2020-11-10 01:01:06.861569+01","2022-03-10 01:44:10.92212+01"
"494386","9","6","prediction","articles","962350","{""claims"": []}","2020-12-11 11:06:34.01972+01","2022-03-09 22:55:36.690622+01"
"377272","9","6","prediction","articles","257821","{""claims"": [{""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 472, ""presence"": ""yes"", ""stance_score"": 0.5178484320640564, ""presence_score"": 0.3649581311724086, ""partial_veracity"": ""false""}, {""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 2168, ""presence"": ""yes"", ""stance_score"": 0.9877104163169861, ""presence_score"": 0.4098749608771748, ""partial_veracity"": ""unknown""}]}","2020-03-08 23:52:35.094451+01","2022-03-10 01:41:56.65069+01"
"377463","9","6","prediction","articles","258146","{""claims"": []}","2020-03-08 23:53:48.109125+01","2022-03-10 01:46:07.073215+01"
"448256","9","6","prediction","articles","848206","{""claims"": [{""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 472, ""presence"": ""yes"", ""stance_score"": 0.9165942072868347, ""presence_score"": 0.5296139234676895, ""partial_veracity"": ""true""}]}","2020-07-18 05:23:16.209476+02","2022-03-10 01:49:07.763473+01"
"348832","9","6","prediction","articles","471081","{""claims"": []}","2020-03-08 20:44:50.709323+01","2022-03-09 22:57:54.157581+01"
"348647","9","6","prediction","articles","339762","{""claims"": []}","2020-03-08 20:43:35.932718+01","2022-03-09 22:55:48.064035+01"
"337307","9","6","prediction","articles","323609","{""claims"": [{""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 2438, ""presence"": ""yes"", ""stance_score"": 0.9005733132362366, ""presence_score"": 0.6411447176293428, ""partial_veracity"": ""false""}, {""rating"": ""false"", ""stance"": ""supporting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.5617508888244629, ""presence_score"": 0.5283014924801621, ""partial_veracity"": ""false""}]}","2020-03-08 19:40:18.454432+01","2022-03-10 01:44:57.379427+01"
"365870","9","6","prediction","articles","243055","{""claims"": []}","2020-03-08 22:44:13.298726+01","2022-03-09 23:09:07.585163+01"
"330938","9","6","prediction","articles","307205","{""claims"": []}","2020-03-08 18:15:26.527103+01","2022-03-09 22:57:30.449797+01"
"377352","9","6","prediction","articles","257954","{""claims"": []}","2020-03-08 23:53:07.570432+01","2022-03-10 01:43:25.185349+01"
"348867","9","6","prediction","articles","340095","{""claims"": []}","2020-03-08 20:45:04.160735+01","2022-03-09 22:58:37.925885+01"
"348887","9","6","prediction","articles","340123","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8135412931442261, ""presence_score"": 0.5123849235059068, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.777597963809967, ""presence_score"": 0.4663676627358482, ""partial_veracity"": ""false""}]}","2020-03-08 20:45:12.150661+01","2022-03-09 22:58:51.815288+01"
"428321","9","6","prediction","articles","815008","{""claims"": []}","2020-04-15 03:31:22.575375+02","2022-03-10 01:43:24.202654+01"
"377396","9","6","prediction","articles","258032","{""claims"": [{""rating"": ""true"", ""stance"": ""supporting"", ""claim_id"": 4587, ""presence"": ""yes"", ""stance_score"": 0.9803832173347473, ""presence_score"": 0.3562311927329302, ""partial_veracity"": ""true""}, {""rating"": ""unknown"", ""stance"": ""supporting"", ""claim_id"": 3054, ""presence"": ""yes"", ""stance_score"": 0.9856804609298706, ""presence_score"": 0.46698278149585976, ""partial_veracity"": ""unknown""}]}","2020-03-08 23:53:23.656751+01","2022-03-10 01:44:37.671379+01"
"313802","9","6","prediction","articles","274650","{""claims"": [{""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.8497995734214783, ""presence_score"": 0.5198238470239186, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""neutral"", ""claim_id"": 4589, ""presence"": ""yes"", ""stance_score"": 0.7231217622756958, ""presence_score"": 0.4790200877698299, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.6322780251502991, ""presence_score"": 0.5131013328414267, ""partial_veracity"": ""false""}]}","2020-03-08 15:42:13.762786+01","2022-03-09 22:59:12.435861+01"
"377619","9","6","prediction","articles","258374","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4007, ""presence"": ""yes"", ""stance_score"": 0.5728004574775696, ""presence_score"": 0.3518558975716371, ""partial_veracity"": ""unknown""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 399, ""presence"": ""yes"", ""stance_score"": 0.4857901632785797, ""presence_score"": 0.4237471814786025, ""partial_veracity"": ""true""}]}","2020-03-08 23:54:52.954655+01","2022-03-10 01:48:31.456337+01"
"377666","9","6","prediction","articles","258423","{""claims"": [{""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 2048, ""presence"": ""yes"", ""stance_score"": 0.5850939750671387, ""presence_score"": 0.5718790251897009, ""partial_veracity"": ""unknown""}, {""rating"": ""unknown"", ""stance"": ""contradicting"", ""claim_id"": 4912, ""presence"": ""yes"", ""stance_score"": 0.7307747006416321, ""presence_score"": 0.42397230685954757, ""partial_veracity"": ""unknown""}, {""rating"": ""true"", ""stance"": ""contradicting"", ""claim_id"": 4593, ""presence"": ""yes"", ""stance_score"": 0.7934452891349792, ""presence_score"": 0.6153638363407082, ""partial_veracity"": ""false""}, {""rating"": ""false"", ""stance"": ""contradicting"", ""claim_id"": 5150, ""presence"": ""yes"", ""stance_score"": 0.6365811824798584, ""presence_score"": 0.3747682368564129, ""partial_veracity"": ""true""}]}","2020-03-08 23:55:11.094988+01","2022-03-10 01:49:36.154031+01"
