id,related_object_url,reaction_count,comment_count,share_count,comment_plugin_count,extracted_at,feedback_sum
"65084388","https://www.statnews.com/2020/12/16/coherus-biosciences-critic-trump-international-drug-pricing/?utm_campaign=rss","19","0","8","0","2020-12-25 00:39:48.770254+01","27"
"65084870","https://www.naturalnews.com/2020-12-16-trudeau-trained-chinese-troops-in-canada.html","0","0","0","0","2020-12-25 00:42:58.600125+01","0"
"65085011","https://themindunleashed.com/2020/12/a-new-satellite-can-peer-inside-buildings-during-the-day-or-night.html","989","428","494","0","2020-12-25 00:43:52.311162+01","1911"
"65085720","https://youngwomenshealth.org/2020/09/28/remote-learning-mental-health/","2","0","1","0","2020-12-25 00:51:34.878898+01","3"
"65085829","https://neurosciencenews.com/sleep-apnea-alzheimers-17092/","555","102","323","0","2020-12-25 00:52:15.894317+01","980"
"65085833","https://www.dailymail.co.uk/news/article-8780631/Pubs-bars-restaurants-blame-3-coronavirus-outbreaks-week.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","1121","1065","764","0","2020-12-25 00:52:17.159702+01","2950"
"65085743","https://www.latimes.com/opinion/story/2020-09-28/cancer-screening-down-covid-pandemic","258","15","57","0","2020-12-25 00:51:45.130847+01","330"
"65085771","https://www.collective-evolution.com/2020/09/28/covid-19-survival-rates-have-many-scientists-doctors-questioning-masks-lockdown/","4318","1292","2169","0","2020-12-25 00:51:54.330336+01","7779"
"65086464","https://www.naturalnews.com/2020-09-29-australian-police-kidnap-people-remove-underwear-administer-vaccines.html","0","0","0","0","2020-12-25 00:56:27.611749+01","0"
"65086549","https://naturalnewsblogs.com/organic-soy-diverse-protein-source/","0","0","0","0","2020-12-25 00:57:01.292501+01","0"
"65086612","https://www.statnews.com/2020/09/30/democrats-drug-pricing-celgene-teva/?utm_campaign=rss","4183","541","592","0","2020-12-25 00:57:26.117889+01","5316"
"65086486","https://www.medicaldaily.com/meet-oracles-todays-virtual-care-456339","36","2","11","0","2020-12-25 00:56:35.087875+01","49"
"65086566","https://www.naturalhealth365.com/warning-signs-stroke-3572.html","41","2","54","0","2020-12-25 00:57:07.513951+01","97"
"65086628","https://www.latimes.com/science/story/2020-09-30/genes-inherited-from-neanderthals-may-put-covid-19-patients-at-risk","291","178","143","0","2020-12-25 00:57:31.737074+01","612"
"65086681","https://www.dailymail.co.uk/health/article-8792297/Treat-sweet-tooth-boost-health.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","1","0","2","0","2020-12-25 00:57:52.980503+01","3"
"65086685","https://www.latimes.com/science/newsletter/2020-09-30/super-spreaders-covid-19-coronavirus-today","14","9","17","0","2020-12-25 00:57:54.348368+01","40"
"65086768","https://www.healthcentral.com/article/a-dermatologist-answers-questions-about-topical-chemotherapy-creams","0","5","2","0","2020-12-25 00:58:26.847435+01","7"
"65086990","https://neurosciencenews.com/sci-stem-cell-17111/","56","4","30","0","2020-12-25 00:59:54.923033+01","90"
"65087151","http://www.emedicinehealth.com/script/main/art.asp?articlekey=247398","0","0","0","0","2020-12-25 01:01:01.964117+01","0"
"65087305","https://www.naturalnews.com/2020-10-01-jujube-natural-reservoir-of-antioxidant-antibacterial-compounds.html","0","0","0","0","2020-12-25 01:02:04.360899+01","0"
"65087313","https://www.naturalnews.com/2020-10-01-us-to-ship-first-approved-covid19-vaccine-fda-green-light.html","0","0","0","0","2020-12-25 01:02:07.133056+01","0"
"65087317","https://www.naturalnews.com/2020-10-01-democrats-threatening-riot-streets-new-supreme-court-justice.html","0","0","0","0","2020-12-25 01:02:08.489181+01","0"
"65087884","https://www.latimes.com/opinion/story/2020-10-04/gavin-newsom-is-right-to-resist-pressure-on-reopening","312","392","47","0","2020-12-25 01:05:57.939206+01","751"
"65088269","https://www.dailymail.co.uk/health/article-8807693/What-loo-reveals-Scientists-believe-warning-Covid-outbreaks.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","29","14","45","0","2020-12-25 01:08:31.422014+01","88"
"65088254","https://www.statnews.com/2020/10/05/trump-discharged-from-walter-reed/?utm_campaign=rss","184","309","57","0","2020-12-25 01:08:25.782718+01","550"
"65088260","https://neurosciencenews.com/memory-hippocampus-genetics-17124/","140","13","103","0","2020-12-25 01:08:28.102466+01","256"
"65088638","https://www.latimes.com/world-nation/story/2020-10-06/trump-halts-covid-19-relief-talks-until-after-election","1468","725","296","0","2020-12-25 01:11:08.075444+01","2489"
"65088733","http://www.medicinenet.com/script/main/art.asp?articlekey=247493","0","0","0","0","2020-12-25 01:11:44.926823+01","0"
"65088735","http://www.medicinenet.com/script/main/art.asp?articlekey=247479","0","0","0","0","2020-12-25 01:11:45.642873+01","0"
"65088748","https://magazine.medlineplus.gov/article/bad-sleep-patterns-could-up-the-risk-of-heart-disease-in-older-adults","1","0","9","0","2020-12-25 01:11:52.136338+01","10"
"65088743","http://www.emedicinehealth.com/script/main/art.asp?articlekey=247522","0","0","0","0","2020-12-25 01:11:50.543451+01","0"
"65088764","https://www.dailymail.co.uk/news/article-8809481/Sir-Paul-Nurses-urges-ministers-invest-small-ship-labs-save-UKs-chaotic-testing-system.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","5","0","2020-12-25 01:11:58.167693+01","5"
"65088952","https://vaxopedia.org/2020/10/07/where-are-the-pediatric-covid-19-vaccine-trials/","30","13","14","0","2020-12-25 01:13:15.007605+01","57"
"65089033","https://www.latimes.com/california/story/2020-10-07/la-county-reports-highest-covid19-daily-case-count-in-6-weeks","464","140","146","0","2020-12-25 01:13:47.067993+01","750"
"65089156","http://www.emedicinehealth.com/script/main/art.asp?articlekey=247549","0","0","0","0","2020-12-25 01:14:34.890297+01","0"
"65089169","https://www.nytimes.com/2020/10/08/style/governess-nanny-tutor-babysitter.html","219","86","108","0","2020-12-25 01:14:39.518176+01","413"
"65089739","http://feeds.foxnews.com/~r/foxnews/health/~3/AzGLBDPp7LI/fear-coronavirus-deters-strangers-performing-cpr","10","6","28","0","2020-12-25 01:18:36.139749+01","44"
"65090274","https://hivinfo.nih.gov/understanding-hiv/fact-sheets/hiv-medicines-during-pregnancy-and-childbirth","0","0","0","0","2020-12-25 01:22:14.674792+01","0"
"65090253","http://www.medicinenet.com/script/main/art.asp?articlekey=247556","0","0","1","0","2020-12-25 01:22:07.001608+01","1"
"65090265","http://www.emedicinehealth.com/script/main/art.asp?articlekey=58659","3","0","1","0","2020-12-25 01:22:11.396754+01","4"
"65090419","https://www.naturalnews.com/2020-10-08-china-simulates-airstrike-on-america-threatens-wipe-out-taiwan-president.html","0","0","0","0","2020-12-25 01:23:14.9146+01","0"
"65090398","https://www.naturalnews.com/2020-10-08-plot-to-kidnap-the-governor-of-michigan-mostly-peaceful.html","0","0","0","0","2020-12-25 01:23:07.317151+01","0"
"65090402","https://www.naturalnews.com/2020-10-08-disney-to-lay-off-28000-workers-pandemic.html","0","0","0","0","2020-12-25 01:23:08.722227+01","0"
"65090556","https://www.statnews.com/2020/10/09/see-in-one-minute-how-covid-19-has-torn-across-the-u-s/?utm_campaign=rss","250","56","201","0","2020-12-25 01:24:12.999054+01","507"
"65090580","http://feeds.foxnews.com/~r/foxnews/health/~3/Ll7OOHRKLyk/illinois-reports-first-west-nile-virus-death-2020-chicago-resident","0","0","0","0","2020-12-25 01:24:22.454994+01","0"
"65090652","http://thenewsdoctors.com/testboston-ofrecera-mensualmente-pruebas-gratuitas-de-covid-19-para-10000-personas-en-greater-boston/","0","0","0","0","2020-12-25 01:24:53.46668+01","0"
"65090704","https://www.latimes.com/politics/story/2020-10-09/americans-find-it-hard-to-go-high-when-it-comes-to-trump","1131","692","206","0","2020-12-25 01:25:14.677019+01","2029"
"65090586","https://www.medicaldaily.com/safe-vaccine-development-requires-orderly-process-456649","57","1","15","0","2020-12-25 01:24:24.752463+01","73"
"65090681","https://themindunleashed.com/2020/10/more-people-were-arrested-for-cannabis-than-all-violent-crimes.html","2303","556","536","0","2020-12-25 01:25:04.03798+01","3395"
"65090749","http://www.medicinenet.com/script/main/art.asp?articlekey=247590","0","0","0","0","2020-12-25 01:25:33.18352+01","0"
"65090874","https://www.naturalnews.com/2020-10-09-apes-can-understand-each-others-mental-states.html","0","0","0","0","2020-12-25 01:26:21.66502+01","0"
"65090917","https://www.dailymail.co.uk/health/article-8826673/Breakthrough-treatment-cancer-killed-Inspector-Morse-star-John-Thaw.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 01:26:39.953476+01","0"
"65091373","https://www.nytimes.com/2020/10/10/health/covid-nevada-testing-nursing-homes.html","103","70","144","0","2020-12-25 01:29:38.662069+01","317"
"65091517","https://www.dailymail.co.uk/health/article-8831795/Coronavirus-cost-16-TRILLION-90-GDP-study-predicts.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 01:30:37.168288+01","0"
"65091534","http://thenewsdoctors.com/many-times-greater-than-any-war-since-9-11-economists-estimate-the-pandemics-cost-at-16-trillion/","0","0","0","0","2020-12-25 01:30:43.091363+01","0"
"65091648","https://www.statnews.com/2020/10/13/trump-iowa-covid-19-out-of-control/?utm_campaign=rss","218","187","129","0","2020-12-25 01:31:30.124793+01","534"
"65091992","https://www.nytimes.com/2020/10/13/well/mind/weighted-blankets-for-sounder-sleep.html","444","405","275","0","2020-12-25 01:33:43.643426+01","1124"
"65092020","https://www.healthy-holistic-living.com/the-hidden-reason-youre-not-feeling-well/","8","0","16","0","2020-12-25 01:33:53.114979+01","24"
"65092056","https://www.latimes.com/science/newsletter/2020-10-13/coronavirus-today-halloween-trick-or-treat-coronavirus-today","0","0","3","0","2020-12-25 01:34:07.228896+01","3"
"65092277","https://www.dailymail.co.uk/news/article-8839003/PHE-told-peers-September-15-UK-trajectory-Germany.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","3","3","15","0","2020-12-25 01:35:32.106594+01","21"
"65092355","https://www.medicaldaily.com/10-facts-about-heart-attacks-how-many-do-you-know-456723","23","5","14","0","2020-12-25 01:36:03.833426+01","42"
"65092585","https://www.statnews.com/2020/10/15/twitter-let-verified-medical-experts-flag-covid-19-misinformation/?utm_campaign=rss","27","6","31","0","2020-12-25 01:37:35.556845+01","64"
"65092784","https://www.naturalnews.com/2020-10-14-biden-campaign-claims-joe-never-met-with-top-burisma-executive.html","0","0","0","0","2020-12-25 01:38:58.322025+01","0"
"65092759","https://www.dailymail.co.uk/news/article-8842707/Liverpools-NHS-trust-claims-intensive-care-units-80-quieter-usual.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","379","375","339","0","2020-12-25 01:38:48.853789+01","1093"
"65092791","https://www.naturalnews.com/2020-10-14-mysterious-eco-disaster-kills-marine-life-russia.html","0","0","0","0","2020-12-25 01:39:03.153754+01","0"
"65092806","https://www.naturalnews.com/2020-10-14-bill-gates-calls-religious-leaders-manipulate-parishioners-getting-vaccinated-covid19.html","0","0","0","0","2020-12-25 01:39:08.03633+01","0"
"65092995","https://www.nytimes.com/2020/10/15/us/politics/covid-trump-town-hall.html","496","566","70","0","2020-12-25 01:40:28.503696+01","1132"
"65092936","https://www.latimes.com/california/story/2020-10-15/officials-fear-halloween-could-become-coronavirus-super-spreader","178","83","98","0","2020-12-25 01:40:01.632972+01","359"
"65093001","https://www.latimes.com/world-nation/story/2020-10-15/nebraska-sen-sasse-rips-trump-over-covid-19-foreign-policy","1214","342","134","0","2020-12-25 01:40:30.90932+01","1690"
"65092938","http://feeds.foxnews.com/~r/foxnews/health/~3/ZMrisZrs-9M/global-coronavirus-surge-mortality-spike-who","1","0","19","0","2020-12-25 01:40:04.731785+01","20"
"65093014","http://thenewsdoctors.com/how-nitric-oxide-combats-covid-19/","0","0","0","0","2020-12-25 01:40:35.436455+01","0"
"65093210","https://youngwomenshealth.org/2020/10/16/scared-at-state-of-the-world/","0","0","1","0","2020-12-25 01:41:55.316548+01","1"
"65093722","https://www.ageofautism.com/2020/10/an-abundance-of-caution.html","23","3","14","0","2020-12-25 01:45:22.180042+01","40"
"65093814","https://www.naturalnews.com/2020-10-17-the-fbi-militias-truth-and-comeys-legacy.html","0","0","0","0","2020-12-25 01:46:00.510781+01","0"
"65093954","https://www.statnews.com/2020/10/19/medicare-proposed-rule-breakthrough-digital-therapeutics/?utm_campaign=rss","20","2","27","0","2020-12-25 01:46:57.927412+01","49"
"65094112","https://www.naturalnews.com/2020-10-18-reasons-not-to-get-a-flu-shot.html","0","0","0","0","2020-12-25 01:48:00.687223+01","0"
"65094120","https://www.naturalnews.com/2020-10-18-breitbart-explains-big-tech-has-destroyed-internet-freedom.html","0","0","0","0","2020-12-25 01:48:03.588469+01","0"
"65094482","http://thenewsdoctors.com/scientist-attacked-for-fluoridation-facts/","0","0","0","0","2020-12-25 01:50:32.682753+01","0"
"65094486","https://consciouslifenews.com/oneness-versus-the-1/11195993/","2","0","6","0","2020-12-25 01:50:34.04277+01","8"
"65094588","https://ccr.cancer.gov/news/article/combination-therapy-tested-in-metastatic-genitourinary-cancers","0","0","0","0","2020-12-25 01:51:18.003752+01","0"
"65094909","http://feeds.foxnews.com/~r/foxnews/health/~3/izOLVdaX8A8/coronavirus-cases-record-high-weekend-missouri","0","0","0","0","2020-12-25 01:52:34.20874+01","0"
"65095299","http://feeds.foxnews.com/~r/foxnews/health/~3/ju1s2wk7Bkc/coronavirus-antibodies-present-babies-born-mothers-with-covid-19-study","0","0","0","0","2020-12-25 01:54:00.859489+01","0"
"65095610","https://www.naturalnews.com/2020-10-20-facebook-twitter-cross-line-far-more-dangerous.html","0","0","0","0","2020-12-25 01:55:11.236852+01","0"
"65095614","https://www.naturalnews.com/2020-10-20-twitter-silences-trump-covid-task-force-expert.html","0","0","0","0","2020-12-25 01:55:11.944415+01","0"
"65095718","https://www.webmd.com/ibd-crohns-disease/ulcerative-colitis/features/marijuana-cbd-ulcerative-colitis","80","28","70","0","2020-12-25 01:55:35.346448+01","178"
"65095544","https://www.dailymail.co.uk/health/article-8863755/Study-touted-neck-gaiters-effective-face-coverings-against-COVID-19-questioned.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 01:54:56.048238+01","0"
"65095630","https://www.naturalnews.com/2020-10-20-austin-employee-stole-printer-toner.html","0","0","0","0","2020-12-25 01:55:15.086988+01","0"
"65095886","http://feeds.foxnews.com/~r/foxnews/health/~3/JKt4iSyl8FE/diabetics-lower-death-risk-coffee-green-tea-study","0","0","0","0","2020-12-25 01:56:13.309774+01","0"
"65096114","https://www.latimes.com/opinion/story/2020-12-20/shame-on-wealthy-people-front-of-the-vaccine-line","23","55","15","0","2020-12-25 01:57:04.928071+01","93"
"65096316","https://www.latimes.com/california/story/2020-12-20/south-korea-san-diegan-covid19-survival-box","236","13","60","0","2020-12-25 01:57:50.94801+01","309"
"65096588","https://www.medicaldaily.com/lowering-blood-pressure-flavanol-diets-may-help-456927","30","4","28","0","2020-12-25 01:58:51.353317+01","62"
"65096899","https://www.webmd.com/lung/news/20201021/two-studies-show-drop-in-covid-19-death-rates","764","221","356","0","2020-12-25 02:00:06.377663+01","1341"
"65097026","http://www.emedicinehealth.com/script/main/art.asp?articlekey=248116","0","0","0","0","2020-12-25 02:00:37.057929+01","0"
"65097038","https://www.nytimes.com/2020/10/20/health/covid-antibody-regeneron.html","638","254","358","0","2020-12-25 02:00:39.543032+01","1250"
"65097041","https://www.naturalnews.com/2020-12-20-forensic-audit-dominion-software-designed-influence-election.html","0","0","0","0","2020-12-25 02:00:40.167443+01","0"
"65097046","https://www.latimes.com/world-nation/story/2020-10-22/fda-approves-first-covid-19-drug-antiviral-remdesivir","22","9","47","0","2020-12-25 02:00:41.230437+01","78"
"65097176","https://www.nytimes.com/2020/12/21/health/covid-nursinghomes-vaccine.html","544","185","657","0","2020-12-25 02:01:10.823751+01","1386"
"65097716","http://thenewsdoctors.com/nations-largest-eating-disorder-treatment-facility-opens-in-dedham-amid-pandemic-fueled-rise-in-cases/","0","0","0","0","2020-12-25 02:03:13.466345+01","0"
"65097725","http://thenewsdoctors.com/how-a-bacterium-can-spread-abnormal-cell-growth/","0","0","0","0","2020-12-25 02:03:15.370424+01","0"
"65097735","https://consciouslifenews.com/essential-tips-on-how-to-identify-the-best-cbd-product/11196200/","0","0","0","0","2020-12-25 02:03:17.24578+01","0"
"65098001","http://www.medicinenet.com/script/main/art.asp?articlekey=248106","0","0","0","0","2020-12-25 02:04:18.965196+01","0"
"65098053","https://www.naturalnews.com/2020-12-21-bio-warfare-expert-warns-bioweapon-released.html","0","0","0","0","2020-12-25 02:04:29.261212+01","0"
"65098057","https://www.naturalnews.com/2020-12-21-white-house-trade-adviser-navarros-bombshell-proves-trump-won.html","0","0","0","0","2020-12-25 02:04:29.925087+01","0"
"65135033","http://www.medicinenet.com/script/main/art.asp?articlekey=249293","0","0","0","0","2020-12-25 13:56:33.206264+01","0"
"65099319","http://www.medicinenet.com/script/main/art.asp?articlekey=250220","0","0","0","0","2020-12-25 02:09:16.659698+01","0"
"65099457","https://www.naturalnews.com/2020-10-24-hunter-biden-ex-business-partner-turning-all-evidence-to-fbi.html","0","0","0","0","2020-12-25 02:09:47.45835+01","0"
"65099509","http://feeds.foxnews.com/~r/foxnews/health/~3/ENGVTBSNkqE/seasons-greetings-cards-solicited-for-covid-19-patients","0","0","0","0","2020-12-25 02:10:00.400027+01","0"
"65099419","https://www.naturalnews.com/2020-10-25-leftist-antifa-performs-satanic-ritual-in-street.html","0","0","0","0","2020-12-25 02:09:39.57813+01","0"
"65099773","https://www.naturalhealth365.com/covid-19-infection-fatality-rate-3604.html","225","61","467","0","2020-12-25 02:11:17.816665+01","753"
"65099801","https://www.latimes.com/science/newsletter/2020-10-26/verily-google-testing-disparities-coronavirus-today","1","0","2","0","2020-12-25 02:11:29.593045+01","3"
"65099851","https://www.webmd.com/lung/news/20201026/dangerous-covid-19-syndrome-first-seen-in-kids-also-strikes-adults","1685","1107","881","0","2020-12-25 02:11:50.75889+01","3673"
"65100089","https://www.naturalnews.com/2020-10-26-biden-campaign-implies-hunters-partners-russian-assets.html","0","0","0","0","2020-12-25 02:13:34.208586+01","0"
"65100194","https://www.latimes.com/california/story/2020-10-27/southern-california-counties-see-increase-in-new-coronavirus-cases-data-show","596","326","108","0","2020-12-25 02:14:15.462908+01","1030"
"65100259","https://www.healthcentral.com/article/indoor-gym-during-covid","11","3","7","0","2020-12-25 02:14:39.772795+01","21"
"65100192","https://www.nytimes.com/2020/10/27/style/tiny-modern-love-stories-do-i-always-tilt-my-head-like-that.html","379","65","73","0","2020-12-25 02:14:14.777088+01","517"
"65100330","https://www.webmd.com/lung/news/20201027/loss-of-smell-more-common-in-covid-19-than-thought","201","161","73","0","2020-12-25 02:15:09.849004+01","435"
"65100334","https://www.webmd.com/food-recipes/food-poisoning/news/20201027/cdc-warns-of-listeria-outbreak","250","110","307","0","2020-12-25 02:15:11.171316+01","667"
"65100340","https://www.dailymail.co.uk/news/article-8885029/Different-Covid-19-vaccines-compared-ensure-effective-used.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","15","1","5","0","2020-12-25 02:15:13.225521+01","21"
"65100661","https://www.dailymail.co.uk/health/article-8889843/Eli-Lillys-antibody-drug-lowers-viral-loads-improves-symptoms-mildly-ill-COVID-19-patients.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 02:17:26.17058+01","0"
"65100719","http://www.medicinenet.com/script/main/art.asp?articlekey=248224","0","0","0","0","2020-12-25 02:17:50.42616+01","0"
"65100728","http://www.emedicinehealth.com/script/main/art.asp?articlekey=248274","0","0","0","0","2020-12-25 02:17:56.29717+01","0"
"65101263","http://www.medicinenet.com/script/main/art.asp?articlekey=248293","1","0","2","0","2020-12-25 02:21:35.398723+01","3"
"65101409","https://www.naturalnews.com/2020-10-29-travel-forced-to-carry-digital-certificate.html","0","0","0","0","2020-12-25 02:22:36.671938+01","0"
"65101570","https://www.dailymail.co.uk/news/article-8896809/Coronavirus-UK-West-Yorkshire-MPs-angry-decision-region-Tier-3-lockdown.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","11","0","2020-12-25 02:23:46.517425+01","11"
"65101727","https://www.dailymail.co.uk/health/article-8898303/NIH-scientists-discover-rare-genetic-inflammatory-condition-men.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 02:24:53.991812+01","0"
"65101616","https://www.medicaldaily.com/preventing-injury-using-smart-textiles-457098","11","3","7","1","2020-12-25 02:24:06.074667+01","21"
"65101779","http://www.medicinenet.com/script/main/art.asp?articlekey=248298","0","0","0","0","2020-12-25 02:25:15.836082+01","0"
"65101999","https://www.dailymail.co.uk/health/article-8900489/AIDS-TV-advert-proved-scaring-witless-ISNT-way-beat-Covid-writes-BARNEY-CALMAN.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","0","0","0","0","2020-12-25 02:26:45.680508+01","0"
"65102165","https://www.naturalnews.com/2020-10-30-biden-pledges-to-gut-religious-freedom-protections.html","0","0","0","0","2020-12-25 02:27:52.736684+01","0"
"65102191","https://www.naturalnews.com/2020-10-30-malaysian-pm-muslims-right-to-kill-french.html","0","0","0","0","2020-12-25 02:28:04.049879+01","0"
"65102174","https://www.naturalnews.com/2020-10-30-trump-joe-biden-disqualified-from-presidency.html","0","0","0","0","2020-12-25 02:27:55.967323+01","0"
"65102350","https://www.naturalhealth365.com/chronic-stress-relief-3611.html","18","1","23","0","2020-12-25 02:29:09.122367+01","42"
"65102705","https://wakeup-world.com/2020/11/03/the-secret-to-a-healthy-life-according-to-80-year-old-yogis-and-yoginis/","26","0","17","0","2020-12-25 02:31:39.605601+01","43"
"65102730","https://www.dailymail.co.uk/news/article-8905013/Number-10-saved-thousands-lives-followed-SAGE-advice-scientific-adviser-says.html?ns_mchannel=rss&ns_campaign=1490&ito=1490","35","15","52","0","2020-12-25 02:31:50.729197+01","102"
"65102953","http://www.medicinenet.com/script/main/art.asp?articlekey=248426","0","0","0","0","2020-12-25 02:33:19.878802+01","0"
"65103118","https://www.naturalnews.com/2020-11-02-hunters-laptop-debunks-latest-russia-conspiracy-theory.html","0","0","0","0","2020-12-25 02:34:30.289287+01","0"
